,no_of_images,ch_in,dim_in_row,dim_in_column,ch_out,dim_out_row,dim_out_column,filter_row,filter_column,feature_map_memory,filter_coefficient_memory,macs,comp,activation,input_map_bytes,output_map_bytes,fitler_coeff_bytes,input_map_location,output_map_location,fitler_location,input_data_movement*1000000.0,output_data_movement*1000000.0,filter_data_movement*1000000.0,total_data_movement*1000000.0,matrix_compute_time*1000000.0,vector_compute_time*1000000.0,total_compute_time*1000000.0,serial*1000000.0,parallel*1000000.0
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0b_7x1/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_2/Conv2d_0c_1x7/,10.0,128.0,12.0,12.0,128.0,12.0,12.0,1.0,7.0,36864.0,114816.0,16515072.0,18432.0,18432.0,18432.0,18432.0,114816.0,0.0,0.0,1.0,0.0,0.0,11.4816,11.4816,1376.256,0.0,1376.256,1387.7375,1376.256
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0c_1x7/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0c_1x7/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_2/Conv2d_0d_7x1/,10.0,128.0,12.0,12.0,128.0,12.0,12.0,7.0,1.0,36864.0,114816.0,16515072.0,18432.0,18432.0,18432.0,18432.0,114816.0,0.0,0.0,1.0,0.0,0.0,11.4816,11.4816,1376.256,0.0,1376.256,1387.7375,1376.256
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0d_7x1/BiasAdd,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0d_7x1/Relu,10.0,128.0,12.0,12.0,128.0,12.0,12.0,0.0,0.0,36864.0,128.0,0.0,18432.0,18432.0,18432.0,18432.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0128,0.0128
InceptionV3/Mixed_6b/Branch_2/Conv2d_0e_1x7/,10.0,128.0,12.0,12.0,192.0,12.0,12.0,1.0,7.0,46080.0,172224.0,24772608.0,18432.0,27648.0,18432.0,27648.0,172224.0,0.0,0.0,1.0,0.0,0.0,17.2224,17.2224,2064.384,0.0,2064.384,2081.6064,2064.384
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0e_1x7/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/InceptionV3/Mixed_6b/Branch_2/Conv2d_0e_1x7/Relu,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/Mixed_6b/Branch_3/Conv2d_0b_1x1/,10.0,192.0,12.0,12.0,192.0,12.0,12.0,1.0,1.0,55296.0,37056.0,5308416.0,27648.0,27648.0,27648.0,27648.0,37056.0,0.0,0.0,1.0,0.0,0.0,3.7056,3.7056,442.368,0.0,442.368,446.0736,442.368
InceptionV3/InceptionV3/Mixed_6b/Branch_3/Conv2d_0b_1x1/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/InceptionV3/Mixed_6b/Branch_3/Conv2d_0b_1x1/Relu,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/Mixed_6c/Branch_0/Conv2d_0a_1x1/,10.0,192.0,12.0,12.0,192.0,12.0,12.0,1.0,1.0,55296.0,37056.0,5308416.0,27648.0,27648.0,27648.0,27648.0,37056.0,0.0,0.0,1.0,0.0,0.0,3.7056,3.7056,442.368,0.0,442.368,446.0736,442.368
InceptionV3/InceptionV3/Mixed_6c/Branch_0/Conv2d_0a_1x1/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/InceptionV3/Mixed_6c/Branch_0/Conv2d_0a_1x1/Relu,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
InceptionV3/Mixed_6c/Branch_1/Conv2d_0a_1x1/,10.0,192.0,12.0,12.0,160.0,12.0,12.0,1.0,1.0,50688.0,30880.0,4423680.0,27648.0,23040.0,27648.0,23040.0,30880.0,0.0,0.0,1.0,0.0,0.0,3.088,3.088,368.64,0.0,368.64,371.728,368.64
InceptionV3/InceptionV3/Mixed_6c/Branch_1/Conv2d_0a_1x1/BiasAdd,10.0,160.0,12.0,12.0,160.0,12.0,12.0,0.0,0.0,46080.0,160.0,0.0,23040.0,23040.0,23040.0,23040.0,160.0,0.0,0.0,1.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.016,0.016
InceptionV3/InceptionV3/Mixed_6c/Branch_1/Conv2d_0a_1x1/Relu,10.0,160.0,12.0,12.0,160.0,12.0,12.0,0.0,0.0,46080.0,160.0,0.0,23040.0,23040.0,23040.0,23040.0,160.0,0.0,0.0,1.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.016,0.016
InceptionV3/Mixed_6c/Branch_1/Conv2d_0b_1x7/,10.0,160.0,12.0,12.0,160.0,12.0,12.0,1.0,7.0,46080.0,179360.0,25804800.0,23040.0,23040.0,23040.0,23040.0,179360.0,0.0,0.0,1.0,0.0,0.0,17.936,17.936,2150.4,0.0,2150.4,2168.336,2150.4
InceptionV3/InceptionV3/Mixed_6c/Branch_1/Conv2d_0b_1x7/BiasAdd,10.0,160.0,12.0,12.0,160.0,12.0,12.0,0.0,0.0,46080.0,160.0,0.0,23040.0,23040.0,23040.0,23040.0,160.0,0.0,0.0,1.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.016,0.016
InceptionV3/InceptionV3/Mixed_6c/Branch_1/Conv2d_0b_1x7/Relu,10.0,160.0,12.0,12.0,160.0,12.0,12.0,0.0,0.0,46080.0,160.0,0.0,23040.0,23040.0,23040.0,23040.0,160.0,0.0,0.0,1.0,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.016,0.016
InceptionV3/Mixed_6c/Branch_1/Conv2d_0c_7x1/,10.0,160.0,12.0,12.0,192.0,12.0,12.0,7.0,1.0,50688.0,215232.0,30965760.0,23040.0,27648.0,23040.0,27648.0,215232.0,0.0,0.0,1.0,0.0,0.0,21.5232,21.5232,2580.48,0.0,2580.48,2602.0032,2580.48
InceptionV3/InceptionV3/Mixed_6c/Branch_1/Conv2d_0c_7x1/BiasAdd,10.0,192.0,12.0,12.0,192.0,12.0,12.0,0.0,0.0,55296.0,192.0,0.0,27648.0,27648.0,27648.0,27648.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0192,0.0192,0.0,0.0,0.0,0.0192,0.0192
